PM2.5,PM10,Temp,Humidity,hour,pm25_lag_1,pm25_lag_2,temp_lag_1
77.592,94.4,29.666666666666668,90.48333333333332,1,77.74,37.827777777777776,29.983333333333334
77.444,93.55,29.35,92.49999999999999,2,77.592,77.74,29.666666666666668
77.29599999999999,92.7,29.03333333333333,94.51666666666667,3,77.444,77.592,29.35
77.148,91.85,28.716666666666665,96.53333333333333,4,77.29599999999999,77.444,29.03333333333333
77.0,91.0,28.4,98.55,5,77.148,77.29599999999999,28.716666666666665
65.0425,77.2675,31.025,89.19749999999999,6,77.0,77.148,28.4
53.085,63.535,33.65,79.845,7,65.0425,77.0,31.025
41.1275,49.8025,36.275,70.4925,8,53.085,65.0425,33.65
29.169999999999998,36.07,38.9,61.14,9,41.1275,53.085,36.275
32.89,39.78333333333333,39.025,59.125,10,29.169999999999998,41.1275,38.9
46.228571428571435,60.42142857142857,38.08571428571429,61.885714285714286,11,32.89,29.169999999999998,39.025
42.31666666666667,57.199999999999996,39.68,57.839999999999996,12,46.228571428571435,32.89,38.08571428571429
41.25,53.776666666666664,36.7,63.8375,13,42.31666666666667,46.228571428571435,39.68
38.08,50.75,36.471428571428575,65.37142857142858,14,41.25,42.31666666666667,36.7
33.50714285714286,43.35,36.611111111111114,65.23333333333333,15,38.08,41.25,36.471428571428575
28.897777777777776,38.54777777777778,34.69,70.83,16,33.50714285714286,38.08,36.611111111111114
29.92142857142857,37.25,32.325,79.65,17,28.897777777777776,33.50714285714286,34.69
29.291666666666668,36.666666666666664,31.475,83.475,18,29.92142857142857,28.897777777777776,32.325
29.11625,38.39125,31.225,83.94999999999999,19,29.291666666666668,29.92142857142857,31.475
28.25,39.333333333333336,30.939999999999998,85.16,20,29.11625,29.291666666666668,31.225
29.941666666666666,38.11666666666667,30.85,86.425,21,28.25,29.11625,30.939999999999998
28.021250000000002,36.54375,30.619999999999997,87.64,22,29.941666666666666,28.25,30.85
25.2375,36.9,30.575000000000003,87.8,23,28.021250000000002,29.941666666666666,30.619999999999997
18.955714285714286,23.321428571428573,30.511111111111113,88.03333333333333,0,25.2375,28.021250000000002,30.575000000000003
18.45,22.150000000000002,30.4,88.1,1,18.955714285714286,25.2375,30.511111111111113
23.5875,28.8625,30.1,90.38749999999999,2,18.45,18.955714285714286,30.4
28.725,35.575,29.8,92.675,3,23.5875,18.45,30.1
33.8625,42.2875,29.5,94.9625,4,28.725,23.5875,29.8
39.0,49.0,29.200000000000003,97.25,5,33.8625,28.725,29.5
42.79895833333333,53.035,29.7,94.8,6,39.0,33.8625,29.200000000000003
46.59791666666667,57.07,29.618181818181817,94.52727272727273,7,42.79895833333333,39.0,29.7
50.396875,61.105000000000004,29.536363636363635,94.25454545454545,8,46.59791666666667,42.79895833333333,29.618181818181817
54.19583333333333,65.14,29.454545454545453,93.98181818181818,9,50.396875,46.59791666666667,29.536363636363635
57.99479166666667,69.175,29.37272727272727,93.7090909090909,10,54.19583333333333,50.396875,29.454545454545453
61.79375,73.21000000000001,29.29090909090909,93.43636363636364,11,57.99479166666667,54.19583333333333,29.37272727272727
65.59270833333333,77.245,29.20909090909091,93.16363636363636,12,61.79375,57.99479166666667,29.29090909090909
69.39166666666667,81.28,29.12727272727273,92.89090909090909,13,65.59270833333333,61.79375,29.20909090909091
73.19062500000001,85.315,29.045454545454547,92.61818181818181,14,69.39166666666667,65.59270833333333,29.12727272727273
76.98958333333334,89.35,28.963636363636365,92.34545454545454,15,73.19062500000001,69.39166666666667,29.045454545454547
80.78854166666667,93.385,28.881818181818183,92.07272727272726,16,76.98958333333334,73.19062500000001,28.963636363636365
84.5875,97.42,28.8,91.8,17,80.78854166666667,76.98958333333334,28.881818181818183
116.59166666666665,127.96333333333332,29.78,86.06,18,84.5875,80.78854166666667,28.8
115.28999999999999,131.29000000000002,29.4,84.8,19,116.59166666666665,84.5875,29.78
114.53636363636363,129.85454545454547,28.959999999999997,86.32,20,115.28999999999999,116.59166666666665,29.4
113.78272727272727,128.41909090909093,28.52,87.84,21,114.53636363636363,115.28999999999999,28.959999999999997
